iter	Passed	Remaining
0	18	18379
1	31	15772
2	46	15412
3	65	16366
4	84	16768
5	102	17036
6	121	17256
7	129	16023
8	136	15028
9	154	15324
10	170	15293
11	174	14382
12	179	13604
13	198	13946
14	211	13877
15	226	13926
16	236	13679
17	248	13580
18	256	13219
19	274	13435
20	292	13655
21	310	13816
22	323	13756
23	343	13963
24	348	13581
25	366	13720
26	371	13375
27	389	13512
28	396	13287
29	404	13084
30	409	12790
31	413	12513
32	426	12491
33	444	12633
34	449	12396
35	467	12528
36	486	12656
37	505	12785
38	524	12933
39	532	12786
40	552	12914
41	572	13049
42	591	13157
43	607	13190
44	617	13114
45	636	13205
46	655	13290
47	674	13383
48	693	13466
49	712	13545
50	728	13557
51	747	13628
52	767	13716
53	775	13583
54	795	13661
55	814	13725
56	833	13785
57	838	13615
58	853	13611
59	866	13572
60	885	13631
61	900	13629
62	910	13548
63	918	13428
64	937	13479
65	945	13373
66	964	13424
67	983	13483
68	988	13341
69	1007	13391
70	1026	13427
71	1034	13332
72	1052	13368
73	1057	13234
74	1069	13196
75	1074	13066
76	1092	13099
77	1097	12976
78	1104	12881
79	1109	12759
80	1116	12672
81	1135	12713
82	1145	12660
83	1164	12699
84	1182	12732
85	1192	12676
86	1199	12592
87	1207	12512
88	1225	12547
89	1230	12442
90	1248	12469
91	1253	12368
92	1271	12397
93	1276	12299
94	1283	12228
95	1302	12260
96	1309	12191
97	1327	12215
98	1345	12248
99	1356	12204
100	1374	12233
101	1393	12265
102	1411	12291
103	1418	12223
104	1431	12198
105	1449	12224
106	1467	12247
107	1479	12222
108	1497	12241
109	1516	12266
110	1533	12283
111	1552	12312
112	1557	12227
113	1576	12251
114	1594	12273
115	1607	12252
116	1625	12271
117	1644	12288
118	1663	12312
119	1668	12232
120	1677	12188
121	1696	12206
122	1714	12223
123	1732	12241
124	1751	12260
125	1769	12276
126	1788	12293
127	1806	12307
128	1824	12319
129	1829	12242
130	1836	12182
131	1843	12122
132	1861	12134
133	1877	12134
134	1882	12061
135	1900	12073
136	1915	12068
137	1920	11996
138	1930	11956
139	1944	11947
140	1962	11958
141	1981	11970
142	1999	11980
143	2006	11926
